證券代碼,年月,每股盈餘,ROE(A)－稅後,ROA(A)稅後息前,負債比率,營業毛利率,營業利益率,稅前淨利率,稅後淨利率
2049 上銀,201303,0.81,1.7,0.82,58.55,34.95,6.96,9.45,7.43
2059 川湖,201303,4.4,8.36,6.27,24.7,50.81,38.13,53.7,46.97
2062 橋椿,201303,1.25,4.73,3.26,34.24,25.56,15.08,19.11,15.83
2101 南港,201303,-0.02,-0.16,0.04,47.13,11.29,2.02,-0.58,-0.6
2102 泰豐,201303,0.48,2.15,1.54,31.84,22.14,10.98,11.79,8.93
2103 台橡,201303,0.73,4.02,2.14,49.18,15.44,9.68,9.68,7.23
2104 國際中橡,201303,0.38,1.1,0.88,41.42,16.82,9.54,8.16,3.7
2105 正新,201303,1.51,6.42,2.87,56.64,24.31,14.64,17.5,14.2
2106 建大,201303,1.01,5.33,2.87,47.12,24.18,13.02,13.48,10.64
2107 厚生,201303,0.49,2.52,2.08,15.88,45.08,30.34,42.7,39.97
2108 南帝,201303,0.4,2.7,2.08,24.76,15.61,6.94,7.75,6.31
2109 華豐,201303,0.15,2.1,1.18,54.48,16.91,5.37,5.23,4.01
2114 鑫永銓,201303,1.86,6.13,4.76,20.65,34.05,26.11,29.91,26.28
2115 六暉-KY,201303,0.6,2.7,1.85,33.67,19.63,8.83,8.28,6.09
2201 裕隆,201303,0.75,1.77,0.8,57.06,18.7,3.08,7.58,6.55
2204 中華,201303,0.35,1.07,0.89,16.41,14.09,1.64,5.68,4.95
2206 三陽工業,201303,0.01,0.05,0.15,59.84,15.49,0.19,0.52,0.11
2207 和泰車,201303,3.86,6.49,1.92,70.5,11.79,5.3,7.22,6.07
2208 台船,201303,0.24,1.3,0.7,45.69,4.97,3.15,3.5,2.93
2227 裕日車,201303,4.27,5.93,4.55,22,15.17,3.62,20.33,16.86
2228 劍麟,201303,1.24,5.09,3.34,34.16,27.49,12.88,14.71,10.63
2231 為升,201303,1.29,6.21,5.1,17.92,41.85,24.14,27.52,23.77
2233 宇隆,201303,1.52,5.11,3.61,29.45,34.08,18.02,20.5,15.52
2301 光寶科,201303,0.69,2.14,0.97,60.15,14.72,4.21,4.92,3.83
2302 麗正,201303,-0.1,-1.03,-0.77,23.47,22.2,-9.01,-10.95,-11.5
2303 聯電,201303,0.52,3.06,2.24,28.63,16.17,1.06,27.15,23.09
2305 全友,201303,-0.06,-1.17,-0.47,42.21,40.52,-22.29,-6,-8.6
2308 台達電,201303,1.73,4.04,2.23,43.82,25.61,10.92,12.77,10.75
2312 金寶,201303,0.21,1.55,0.75,57.07,7.34,3.92,3.22,2.39
2313 華通,201303,0.23,1.8,0.93,56.05,12.69,6.78,6.51,4.16
2314 台揚,201303,-0.64,-8.08,-3.08,60.9,6.88,-16.86,-17.5,-17.63
2316 楠梓電,201303,0.15,0.82,0.5,46.63,5.39,-2.7,2.86,3.42
